Value	R           	G           	B           	
1    	0.2425384857	0.3598841419	0.0743165191	
2    	0.0345585925	0.0864108134	0.0469772815	
3    	0.0050267044	0.0038619358	0.0019252984	
4    	0.0006283380	0.0002413710	0.0003850597	
5    	0.0000000000	0.0000000000	0.0003850597	
6    	0.0003141690	0.0002413710	0.0003850597	
7    	0.0000000000	0.0000000000	0.0000000000	
8    	0.0000000000	0.0002413710	0.0000000000	
9    	0.0006283380	0.0002413710	0.0000000000	
10   	0.0000000000	0.0000000000	0.0000000000	
11   	0.0000000000	0.0000000000	0.0011551791	
12   	0.0000000000	0.0000000000	0.0042356565	
13   	0.0000000000	0.0000000000	0.0065460146	
14   	0.0000000000	0.0000000000	0.0069310743	
15   	0.0000000000	0.0004827420	0.0123219099	
16   	0.0003141690	0.0000000000	0.0231035811	
17   	0.0000000000	0.0000000000	0.0292645360	
18   	0.0000000000	0.0000000000	0.0315748941	
19   	0.0000000000	0.0000000000	0.0300346554	
20   	0.0003141690	0.0002413710	0.0254139392	
21   	0.0000000000	0.0024137099	0.0269541779	
22   	0.0000000000	0.0043446778	0.0288794763	
23   	0.0000000000	0.0053101617	0.0342703119	
24   	0.0000000000	0.0012068549	0.0300346554	
25   	0.0000000000	0.0014482259	0.0315748941	
26   	0.0000000000	0.0024137099	0.0373507894	
27   	0.0003141690	0.0031378228	0.0473623412	
28   	0.0000000000	0.0057929037	0.0412013862	
29   	0.0000000000	0.0072411296	0.0354254910	
30   	0.0000000000	0.0103789524	0.0254139392	
31   	0.0000000000	0.0164132271	0.0223334617	
32   	0.0000000000	0.0115858074	0.0227185214	
33   	0.0000000000	0.0084479846	0.0150173277	
34   	0.0000000000	0.0067583876	0.0238737004	
35   	0.0000000000	0.0065170167	0.0281093570	
36   	0.0000000000	0.0074825006	0.0377358491	
37   	0.0000000000	0.0096548395	0.0481324605	
38   	0.0000000000	0.0079652426	0.0427416250	
39   	0.0000000000	0.0103789524	0.0292645360	
40   	0.0003141690	0.0154477432	0.0308047747	
41   	0.0000000000	0.0171373401	0.0323450135	
42   	0.0003141690	0.0147236302	0.0177127455	
43   	0.0000000000	0.0214820179	0.0084713131	
44   	0.0000000000	0.0168959691	0.0042356565	
45   	0.0000000000	0.0139995173	0.0015402387	
46   	0.0000000000	0.0123099203	0.0011551791	
47   	0.0000000000	0.0164132271	0.0000000000	
48   	0.0000000000	0.0108616944	0.0000000000	
49   	0.0000000000	0.0082066136	0.0000000000	
50   	0.0000000000	0.0031378228	0.0000000000	
51   	0.0000000000	0.0053101617	0.0000000000	
52   	0.0000000000	0.0060342747	0.0000000000	
53   	0.0000000000	0.0055515327	0.0000000000	
