Value	R           	G           	B           	
1    	0.2663286609	0.3557173045	0.0728760717	
2    	0.0477184611	0.1007278704	0.0354637568	
3    	0.0044736057	0.0082178915	0.0042868277	
4    	0.0011929615	0.0002347969	0.0003897116	
5    	0.0002982404	0.0000000000	0.0000000000	
6    	0.0000000000	0.0002347969	0.0007794232	
7    	0.0000000000	0.0002347969	0.0000000000	
8    	0.0000000000	0.0000000000	0.0000000000	
9    	0.0002982404	0.0000000000	0.0000000000	
10   	0.0000000000	0.0000000000	0.0003897116	
11   	0.0000000000	0.0002347969	0.0011691348	
12   	0.0002982404	0.0000000000	0.0019485581	
13   	0.0000000000	0.0002347969	0.0015588465	
14   	0.0000000000	0.0000000000	0.0038971161	
15   	0.0000000000	0.0000000000	0.0074045207	
16   	0.0000000000	0.0000000000	0.0179267342	
17   	0.0000000000	0.0002347969	0.0350740452	
18   	0.0000000000	0.0000000000	0.0436477007	
19   	0.0000000000	0.0002347969	0.0674201091	
20   	0.0002982404	0.0000000000	0.0689789556	
21   	0.0000000000	0.0000000000	0.0635229930	
22   	0.0002982404	0.0000000000	0.0810600156	
23   	0.0000000000	0.0002347969	0.0752143414	
24   	0.0000000000	0.0000000000	0.0904130943	
25   	0.0000000000	0.0000000000	0.1091192518	
26   	0.0000000000	0.0014087814	0.1021044427	
27   	0.0000000000	0.0014087814	0.0604053001	
28   	0.0000000000	0.0028175628	0.0303975058	
29   	0.0000000000	0.0056351256	0.0132501949	
30   	0.0000000000	0.0086874853	0.0070148090	
31   	0.0002982404	0.0077482977	0.0023382697	
32   	0.0000000000	0.0063395163	0.0007794232	
33   	0.0000000000	0.0072787039	0.0007794232	
34   	0.0000000000	0.0084526884	0.0000000000	
35   	0.0000000000	0.0079830946	0.0000000000	
36   	0.0000000000	0.0079830946	0.0000000000	
37   	0.0000000000	0.0096266729	0.0000000000	
38   	0.0000000000	0.0122094388	0.0000000000	
39   	0.0002982404	0.0131486264	0.0000000000	
40   	0.0000000000	0.0103310636	0.0000000000	
41   	0.0000000000	0.0131486264	0.0000000000	
42   	0.0000000000	0.0152617985	0.0000000000	
43   	0.0000000000	0.0166705799	0.0000000000	
44   	0.0000000000	0.0225405025	0.0000000000	
45   	0.0002982404	0.0204273304	0.0000000000	
46   	0.0000000000	0.0164357830	0.0000000000	
47   	0.0000000000	0.0199577366	0.0000000000	
48   	0.0000000000	0.0145574078	0.0000000000	
49   	0.0000000000	0.0213665180	0.0000000000	
50   	0.0000000000	0.0152617985	0.0000000000	
51   	0.0000000000	0.0169053768	0.0000000000	
52   	0.0000000000	0.0185489552	0.0000000000	
53   	0.0000000000	0.0286452219	0.0000000000	
54   	0.0000000000	0.0279408312	0.0000000000	
55   	0.0000000000	0.0255928622	0.0000000000	
56   	0.0000000000	0.0230100963	0.0000000000	
57   	0.0000000000	0.0166705799	0.0000000000	
58   	0.0000000000	0.0159661892	0.0000000000	
59   	0.0000000000	0.0164357830	0.0000000000	
60   	0.0000000000	0.0112702512	0.0000000000	
61   	0.0002982404	0.0070439070	0.0000000000	
62   	0.0000000000	0.0068091101	0.0000000000	
63   	0.0000000000	0.0051655318	0.0000000000	
