Value	R           	G           	B           	
1    	0.2792410082	0.3684815070	0.0870732643	
2    	0.0631549136	0.1001608086	0.0356731876	
3    	0.0101954121	0.0071215254	0.0026850786	
4    	0.0008496177	0.0002297266	0.0007671653	
5    	0.0005664118	0.0002297266	0.0000000000	
6    	0.0000000000	0.0000000000	0.0003835827	
7    	0.0000000000	0.0002297266	0.0000000000	
8    	0.0000000000	0.0000000000	0.0003835827	
9    	0.0000000000	0.0002297266	0.0000000000	
10   	0.0002832059	0.0002297266	0.0003835827	
11   	0.0000000000	0.0000000000	0.0000000000	
12   	0.0000000000	0.0000000000	0.0000000000	
13   	0.0000000000	0.0000000000	0.0000000000	
14   	0.0002832059	0.0002297266	0.0000000000	
15   	0.0000000000	0.0000000000	0.0000000000	
16   	0.0000000000	0.0000000000	0.0003835827	
17   	0.0000000000	0.0002297266	0.0003835827	
18   	0.0000000000	0.0000000000	0.0000000000	
19   	0.0000000000	0.0000000000	0.0000000000	
20   	0.0002832059	0.0000000000	0.0003835827	
21   	0.0000000000	0.0000000000	0.0003835827	
22   	0.0000000000	0.0000000000	0.0007671653	
23   	0.0000000000	0.0002297266	0.0049865746	
24   	0.0000000000	0.0000000000	0.0072880706	
25   	0.0000000000	0.0000000000	0.0161104718	
26   	0.0000000000	0.0000000000	0.0283851170	
27   	0.0000000000	0.0000000000	0.0387418489	
28   	0.0000000000	0.0002297266	0.0540851554	
29   	0.0000000000	0.0002297266	0.0563866513	
30   	0.0000000000	0.0000000000	0.0560030687	
31   	0.0000000000	0.0000000000	0.0579209820	
32   	0.0002832059	0.0000000000	0.0525508247	
33   	0.0002832059	0.0000000000	0.0464135021	
34   	0.0000000000	0.0000000000	0.0560030687	
35   	0.0000000000	0.0000000000	0.0560030687	
36   	0.0000000000	0.0000000000	0.0609896433	
37   	0.0000000000	0.0000000000	0.0625239739	
38   	0.0000000000	0.0004594533	0.0751822018	
39   	0.0000000000	0.0000000000	0.0552359033	
40   	0.0000000000	0.0018378130	0.0360567702	
41   	0.0000000000	0.0013783598	0.0214806291	
42   	0.0000000000	0.0032161728	0.0122746452	
43   	0.0000000000	0.0043648059	0.0072880706	
44   	0.0000000000	0.0045945325	0.0042194093	
45   	0.0000000000	0.0011486331	0.0034522440	
46   	0.0000000000	0.0027567195	0.0003835827	
47   	0.0000000000	0.0034458994	0.0000000000	
48   	0.0000000000	0.0057431656	0.0000000000	
49   	0.0000000000	0.0041350793	0.0000000000	
50   	0.0000000000	0.0032161728	0.0000000000	
51   	0.0000000000	0.0045945325	0.0000000000	
52   	0.0000000000	0.0043648059	0.0000000000	
53   	0.0000000000	0.0057431656	0.0000000000	
54   	0.0000000000	0.0110268780	0.0000000000	
55   	0.0002832059	0.0096485183	0.0000000000	
56   	0.0002832059	0.0126349644	0.0000000000	
57   	0.0000000000	0.0130944176	0.0000000000	
58   	0.0000000000	0.0107971514	0.0000000000	
59   	0.0000000000	0.0105674248	0.0000000000	
60   	0.0000000000	0.0073512520	0.0000000000	
61   	0.0000000000	0.0107971514	0.0000000000	
62   	0.0000000000	0.0073512520	0.0000000000	
63   	0.0000000000	0.0121755111	0.0000000000	
64   	0.0000000000	0.0137835975	0.0000000000	
65   	0.0000000000	0.0126349644	0.0000000000	
66   	0.0000000000	0.0142430508	0.0000000000	
67   	0.0000000000	0.0144727774	0.0000000000	
68   	0.0000000000	0.0107971514	0.0000000000	
69   	0.0000000000	0.0110268780	0.0000000000	
70   	0.0000000000	0.0066620721	0.0000000000	
71   	0.0000000000	0.0089593384	0.0000000000	
72   	0.0000000000	0.0126349644	0.0000000000	
73   	0.0000000000	0.0133241443	0.0000000000	
74   	0.0000000000	0.0160808638	0.0000000000	
75   	0.0000000000	0.0149322306	0.0000000000	
76   	0.0000000000	0.0163105904	0.0000000000	
77   	0.0000000000	0.0188375833	0.0000000000	
78   	0.0000000000	0.0186078567	0.0000000000	
79   	0.0000000000	0.0241212957	0.0000000000	
80   	0.0002832059	0.0206753963	0.0000000000	
81   	0.0000000000	0.0163105904	0.0000000000	
82   	0.0002832059	0.0147025040	0.0000000000	
83   	0.0000000000	0.0119457845	0.0000000000	
84   	0.0000000000	0.0059728923	0.0000000000	
85   	0.0000000000	0.0068917988	0.0000000000	
86   	0.0000000000	0.0094187916	0.0000000000	
87   	0.0000000000	0.0082701585	0.0000000000	
88   	0.0000000000	0.0078107053	0.0000000000	
89   	0.0000000000	0.0082701585	0.0000000000	
90   	0.0000000000	0.0055134390	0.0000000000	
91   	0.0000000000	0.0064323455	0.0000000000	
92   	0.0000000000	0.0055134390	0.0000000000	
93   	0.0000000000	0.0043648059	0.0000000000	
94   	0.0000000000	0.0016080864	0.0000000000	
95   	0.0000000000	0.0013783598	0.0000000000	
96   	0.0000000000	0.0009189065	0.0000000000	
97   	0.0000000000	0.0004594533	0.0000000000	
98   	0.0000000000	0.0009189065	0.0000000000	
99   	0.0000000000	0.0000000000	0.0000000000	
100  	0.0000000000	0.0004594533	0.0000000000	
101  	0.0000000000	0.0000000000	0.0000000000	
102  	0.0002832059	0.0000000000	0.0000000000	
103  	0.0000000000	0.0000000000	0.0000000000	
104  	0.0000000000	0.0000000000	0.0000000000	
105  	0.0000000000	0.0000000000	0.0000000000	
106  	0.0002832059	0.0000000000	0.0000000000	
107  	0.0000000000	0.0000000000	0.0000000000	
108  	0.0000000000	0.0000000000	0.0000000000	
109  	0.0000000000	0.0000000000	0.0000000000	
110  	0.0000000000	0.0000000000	0.0000000000	
111  	0.0000000000	0.0000000000	0.0000000000	
112  	0.0000000000	0.0000000000	0.0000000000	
113  	0.0000000000	0.0000000000	0.0000000000	
114  	0.0000000000	0.0000000000	0.0000000000	
115  	0.0000000000	0.0000000000	0.0000000000	
116  	0.0000000000	0.0000000000	0.0000000000	
117  	0.0000000000	0.0000000000	0.0000000000	
118  	0.0000000000	0.0000000000	0.0000000000	
